様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,蓄熱有無,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格暖房能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,,,,[MJ],,,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],系統名等）
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ACP1,無,無,,,電気式ビル用マルチ,1番目,1,,1,0.3,0.05,,,,,1番目,1,,1,0.3,0.05,,
ACP2,無,無,,,電気式ビル用マルチ,1番目,1,,6.5,1.75,0.2,,,,,1番目,1,,6.5,1.75,0.2,,
,,,,,,,,,,,,,,,,,,,,,,,
